
[*] sel 5.000000 5.000000 581.633333 74.200000 
Selecionado: Retângulo id 1, x = 11.700000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 77, x = 174.200000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 78, x = 221.100000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 79, x = 174.200000, y = 11.900000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 80, x = 221.100000, y = 11.900000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 81, x = 180.900000, y = 18.800000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 82, x = 214.400000, y = 18.800000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 83, x = 180.900000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 84, x = 214.400000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 85, x = 187.600000, y = 32.600000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 86, x = 207.700000, y = 32.600000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 87, x = 187.600000, y = 39.500000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 88, x = 207.700000, y = 39.500000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 89, x = 194.300000, y = 46.400000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 90, x = 201.000000, y = 46.400000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 91, x = 194.300000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 92, x = 201.000000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 93, x = 230.600000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 94, x = 237.300000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 95, x = 244.000000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 96, x = 250.700000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 97, x = 257.400000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 98, x = 264.100000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 99, x = 270.800000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 100, x = 277.500000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 101, x = 230.600000, y = 11.900000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 102, x = 277.500000, y = 11.900000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 103, x = 230.600000, y = 18.800000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 104, x = 230.600000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 105, x = 237.300000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 106, x = 244.000000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 107, x = 250.700000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 108, x = 230.600000, y = 32.600000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 109, x = 237.300000, y = 32.600000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 110, x = 244.000000, y = 32.600000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 111, x = 250.700000, y = 32.600000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 112, x = 230.600000, y = 39.500000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 113, x = 230.600000, y = 46.400000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 114, x = 277.500000, y = 46.400000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 115, x = 230.600000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 116, x = 237.300000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 117, x = 244.000000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 118, x = 250.700000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 119, x = 257.400000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 120, x = 264.100000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 121, x = 270.800000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 122, x = 277.500000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 123, x = 350.100000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 124, x = 356.800000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 125, x = 363.500000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 126, x = 370.200000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 127, x = 376.900000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 128, x = 383.600000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 129, x = 343.400000, y = 11.900000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 130, x = 390.300000, y = 11.900000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 131, x = 343.400000, y = 18.800000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 132, x = 390.300000, y = 18.800000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 133, x = 343.400000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 134, x = 390.300000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 135, x = 343.400000, y = 32.600000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 136, x = 390.300000, y = 32.600000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 137, x = 343.400000, y = 39.500000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 138, x = 390.300000, y = 39.500000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 139, x = 343.400000, y = 46.400000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 140, x = 390.300000, y = 46.400000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 141, x = 350.100000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 142, x = 356.800000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 143, x = 363.500000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 144, x = 370.200000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 145, x = 376.900000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 146, x = 383.600000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 147, x = 456.200000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 148, x = 462.900000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 149, x = 469.600000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 150, x = 476.300000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 151, x = 483.000000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 152, x = 489.700000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 153, x = 496.400000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 154, x = 503.100000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 155, x = 456.200000, y = 11.900000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 156, x = 476.300000, y = 11.900000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 157, x = 483.000000, y = 11.900000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 158, x = 503.100000, y = 11.900000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 159, x = 476.300000, y = 18.800000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 160, x = 483.000000, y = 18.800000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 161, x = 476.300000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 162, x = 483.000000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 163, x = 476.300000, y = 32.600000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 164, x = 483.000000, y = 32.600000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 165, x = 476.300000, y = 39.500000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 166, x = 483.000000, y = 39.500000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 167, x = 476.300000, y = 46.400000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 168, x = 483.000000, y = 46.400000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 169, x = 476.300000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 170, x = 483.000000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 171, x = 512.600000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 172, x = 519.300000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 173, x = 526.000000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 174, x = 532.700000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 175, x = 539.400000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 176, x = 546.100000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 177, x = 552.800000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 178, x = 512.600000, y = 11.900000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 179, x = 559.500000, y = 11.900000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 180, x = 512.600000, y = 18.800000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 181, x = 559.500000, y = 18.800000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 182, x = 512.600000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 183, x = 519.300000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 184, x = 526.000000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 185, x = 532.700000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 186, x = 539.400000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 187, x = 546.100000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 188, x = 552.800000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 189, x = 512.600000, y = 32.600000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 190, x = 539.400000, y = 32.600000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 191, x = 512.600000, y = 39.500000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 192, x = 546.100000, y = 39.500000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 193, x = 512.600000, y = 46.400000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 194, x = 552.800000, y = 46.400000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 195, x = 512.600000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 196, x = 559.500000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 197, x = 569.000000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 198, x = 575.700000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 205, x = 569.000000, y = 11.900000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 217, x = 569.000000, y = 46.400000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 221, x = 569.000000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 222, x = 575.700000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 550, x = 11.700000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 551, x = 18.400000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 552, x = 25.100000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 553, x = 31.800000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 554, x = 38.500000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 555, x = 45.200000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 556, x = 5.000000, y = 68.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 557, x = 51.900000, y = 68.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 576, x = 61.400000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 577, x = 68.100000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 578, x = 101.600000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 579, x = 108.300000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 580, x = 61.400000, y = 68.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 581, x = 68.100000, y = 68.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 582, x = 101.600000, y = 68.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 583, x = 108.300000, y = 68.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 600, x = 124.500000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 601, x = 131.200000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 602, x = 137.900000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 603, x = 144.600000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 604, x = 151.300000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 605, x = 158.000000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 606, x = 117.800000, y = 68.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 607, x = 164.700000, y = 68.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 626, x = 174.200000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 627, x = 180.900000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 628, x = 187.600000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 629, x = 194.300000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 630, x = 201.000000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 631, x = 207.700000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 632, x = 214.400000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 633, x = 180.900000, y = 68.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 634, x = 221.100000, y = 68.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 652, x = 237.300000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 653, x = 244.000000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 654, x = 250.700000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 655, x = 257.400000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 656, x = 264.100000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 657, x = 270.800000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 658, x = 230.600000, y = 68.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 659, x = 277.500000, y = 68.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 676, x = 343.400000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 677, x = 350.100000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 678, x = 356.800000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 679, x = 363.500000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 680, x = 370.200000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 681, x = 376.900000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 682, x = 383.600000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 683, x = 390.300000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 684, x = 343.400000, y = 68.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 698, x = 399.800000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 699, x = 406.500000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 700, x = 399.800000, y = 68.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 701, x = 406.500000, y = 68.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 723, x = 456.200000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 724, x = 503.100000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 725, x = 456.200000, y = 68.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 726, x = 503.100000, y = 68.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 743, x = 512.600000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 744, x = 519.300000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 745, x = 526.000000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 746, x = 532.700000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 747, x = 539.400000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 748, x = 546.100000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 749, x = 552.800000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 750, x = 519.300000, y = 68.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 751, x = 559.500000, y = 68.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 773, x = 569.000000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 774, x = 575.700000, y = 61.100000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 781, x = 569.000000, y = 68.000000, height = 6.000000, width = 6.000000

[*] dels
Removido: Retângulo id 1, x = 11.700000, y = 5.000000, height = 6.000000, width = 6.000000
Removido: Retângulo id 2, x = 18.400000, y = 5.000000, height = 6.000000, width = 6.000000
Removido: Retângulo id 3, x = 25.100000, y = 5.000000, height = 6.000000, width = 6.000000
Removido: Retângulo id 4, x = 31.800000, y = 5.000000, height = 6.000000, width = 6.000000
Removido: Retângulo id 5, x = 38.500000, y = 5.000000, height = 6.000000, width = 6.000000
Removido: Retângulo id 6, x = 45.200000, y = 5.000000, height = 6.000000, width = 6.000000
Removido: Retângulo id 7, x = 51.900000, y = 5.000000, height = 6.000000, width = 6.000000
Removido: Retângulo id 8, x = 5.000000, y = 11.900000, height = 6.000000, width = 6.000000
Removido: Retângulo id 9, x = 5.000000, y = 18.800000, height = 6.000000, width = 6.000000
Removido: Retângulo id 10, x = 11.700000, y = 25.700000, height = 6.000000, width = 6.000000
Removido: Retângulo id 11, x = 18.400000, y = 25.700000, height = 6.000000, width = 6.000000
Removido: Retângulo id 12, x = 25.100000, y = 25.700000, height = 6.000000, width = 6.000000
Removido: Retângulo id 13, x = 31.800000, y = 25.700000, height = 6.000000, width = 6.000000
Removido: Retângulo id 14, x = 38.500000, y = 25.700000, height = 6.000000, width = 6.000000
Removido: Retângulo id 15, x = 45.200000, y = 25.700000, height = 6.000000, width = 6.000000
Removido: Retângulo id 16, x = 51.900000, y = 32.600000, height = 6.000000, width = 6.000000
Removido: Retângulo id 17, x = 51.900000, y = 39.500000, height = 6.000000, width = 6.000000
Removido: Retângulo id 18, x = 51.900000, y = 46.400000, height = 6.000000, width = 6.000000
Removido: Retângulo id 19, x = 5.000000, y = 53.300000, height = 6.000000, width = 6.000000
Removido: Retângulo id 20, x = 11.700000, y = 53.300000, height = 6.000000, width = 6.000000
Removido: Retângulo id 21, x = 18.400000, y = 53.300000, height = 6.000000, width = 6.000000
Removido: Retângulo id 22, x = 25.100000, y = 53.300000, height = 6.000000, width = 6.000000
Removido: Retângulo id 23, x = 31.800000, y = 53.300000, height = 6.000000, width = 6.000000
Removido: Retângulo id 24, x = 38.500000, y = 53.300000, height = 6.000000, width = 6.000000
